bearing_id,label,damage_source,split,source_directory,target_directory,mat_count
K001,healthy,healthy_reference,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
K002,healthy,healthy_reference,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
K003,healthy,healthy_reference,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
K004,healthy,healthy_reference,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
K005,healthy,healthy_reference,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
K006,healthy,healthy_reference,02_最终测试集_锁定,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA01,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA03,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA04,outer_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA05,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA06,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA07,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA08,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA09,outer_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA15,outer_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA16,outer_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA22,outer_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KA30,outer_ring_damage,accelerated_lifetime_real,02_最终测试集_锁定,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KB23,inner_ring_damage,accelerated_lifetime_real_mixed,03_混合损伤挑战集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KB24,inner_ring_damage,accelerated_lifetime_real_mixed,03_混合损伤挑战集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KB27,outer_ring_damage,accelerated_lifetime_real_mixed,03_混合损伤挑战集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI01,inner_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI03,inner_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI04,inner_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI05,inner_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI07,inner_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI08,inner_ring_damage,artificial_physical_damage,04_人工损伤辅助集,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI14,inner_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI16,inner_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI17,inner_ring_damage,accelerated_lifetime_real,02_最终测试集_锁定,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI18,inner_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
KI21,inner_ring_damage,accelerated_lifetime_real,01_主开发集_真实损伤,not_available_in_relocated_workspace,not_available_in_relocated_workspace,80
